Name,RA,DEC,NB_mag,Z_mag,I_mag,Pass_NB,Pass_Break,Pass_Faint,Final_LAE,Fail_Reason
Target-00,357.1388874,-30.9028062,20.98429,23.518100000000004,130.954,True,True,True,True,PASS
Target-01,357.6644098,-31.7907136,25.35139,26.9633,27.7536,True,False,True,False,"Break=0.79, need > 1.0"
Target-02,357.3557199,-31.7763618,24.62499,27.2294,28.5238,True,True,True,True,PASS
Target-03,357.4397298,-31.6504033,24.786389999999997,27.3091,27.9775,True,False,True,False,"Break=0.67, need > 1.0"
Target-04,357.0926475,-31.6316506,24.75629,27.8404,130.954,True,True,True,True,PASS
Target-05,357.0711729,-31.5053037,23.74669,27.0346,28.1112,True,True,True,True,PASS
Target-06,356.7152539,-31.3249398,24.44369,26.897,28.1626,True,True,True,True,PASS
Target-07,358.020571,-31.2723936,23.59129,26.7599,28.3503,True,True,True,True,PASS
Target-08,356.2139642,-31.2338325,24.17919,27.218200000000003,28.6987,True,True,True,True,PASS
Target-09,357.2879868,-31.1899103,24.67989,27.3147,28.4217,True,True,True,True,PASS
Target-10,357.1590784,-31.1737537,24.88139,26.9351,28.5142,True,True,True,True,PASS
Target-11,358.0475977,-31.1693605,24.61569,26.884500000000003,28.1565,True,True,True,True,PASS
Target-12,357.5402963,-31.0078819,24.379289999999997,26.681400000000004,27.5646,True,False,True,False,"Break=0.88, need > 1.0"
Target-13,358.2086947,-30.9897093,24.48359,27.443,28.355,True,False,True,False,"Break=0.91, need > 1.0"
Target-14,356.7180535,-30.9519109,24.75549,27.11,130.954,True,True,True,True,PASS
Target-15,358.1636241,-30.8641175,24.52349,27.082300000000004,28.3465,True,True,True,True,PASS
Target-16,357.9263883,-30.8463703,24.90359,26.7296,27.6167,True,False,True,False,"Break=0.89, need > 1.0"
Target-17,356.3781941,-30.8449704,24.93959,27.4287,29.0135,True,True,True,True,PASS
Target-18,356.4106706,-30.6850501,24.35159,26.9566,28.009,True,True,True,True,PASS
Target-19,357.7373353,-30.671421,24.16229,27.9386,130.954,True,True,True,True,PASS
Target-20,356.58429,-30.6677194,25.43559,27.6969,28.3938,True,False,True,False,"Break=0.70, need > 1.0"
Target-21,357.0510961,-30.5428962,24.39969,27.4024,29.5628,True,True,True,True,PASS
Target-22,356.1877395,-30.5186093,24.79479,27.995600000000003,28.1231,True,False,True,False,"Break=0.13, need > 1.0"
Target-23,356.9062826,-30.4745223,25.58449,27.1562,130.954,True,True,True,True,PASS
Target-24,356.13189,-30.4598712,24.66649,26.9383,29.0771,True,True,True,True,PASS
Target-25,356.9106129,-30.4299408,24.83619,26.6103,27.7773,True,True,True,True,PASS
Target-26,356.1537401,-30.4178814,24.10769,27.5546,31.3157,True,True,True,True,PASS
Target-27,357.0875474,-30.4011709,24.51329,26.9533,27.9407,True,False,True,False,"Break=0.99, need > 1.0"
Target-28,356.8382693,-30.3815338,23.93949,26.8431,27.6746,True,False,True,False,"Break=0.83, need > 1.0"
Target-29,356.6137079,-30.364338,24.99989,27.1505,27.9478,True,False,True,False,"Break=0.80, need > 1.0"
Target-30,357.3627596,-30.3572232,24.79499,27.0937,33.1833,True,True,True,True,PASS
Target-31,357.61324,-30.3538183,24.30399,26.779200000000003,28.2442,True,True,True,True,PASS
Target-32,356.2621084,-30.2090617,25.06009,27.463,29.0844,True,True,True,True,PASS
Target-33,357.3943219,-30.2112388,25.07849,27.4204,130.954,True,True,True,True,PASS
Target-34,357.5969728,-30.1792781,24.94159,27.3154,28.3634,True,True,True,True,PASS
Target-35,357.6878026,-30.0870599,24.60169,26.8624,28.4073,True,True,True,True,PASS
Target-36,357.4311944,-30.0503765,24.70229,27.5228,28.5257,True,True,True,True,PASS
Target-37,357.6523175,-30.0297079,25.27949,27.0144,31.8607,True,True,True,True,PASS
Target-38,357.1815754,-29.8872125,25.01179,27.1504,29.0442,True,True,True,True,PASS
