Name,ra,dec,mag_nb,flux
Target-02,357.6644166666666,-31.790669444444447,24.49477553912844,59.22291560572927
Target-08,358.02062499999994,-31.272388888888887,23.720105930470172,120.88088413378212
Target-12,358.04766666666666,-31.16939444444445,24.57957812757019,54.77328003977781
Target-03,357.3557916666666,-31.776375,24.79913047509889,44.74533974437715
Target-04,357.4397083333333,-31.650405555555555,24.762032622765265,46.30063538488498
Target-05,357.09262499999994,-31.631644444444444,24.720205885841143,48.11911659608965
Target-06,357.0711666666666,-31.50526111111111,23.81395675018831,110.87083029951778
Target-07,356.7152083333333,-31.324980555555555,24.446184337424945,61.93359146525382
Target-10,357.2879583333333,-31.189911111111112,24.587687626587982,54.36569562954301
Target-11,357.15908333333334,-31.173747222222225,25.022034899604986,36.440643722063456
Target-09,356.21391666666665,-31.23382777777778,24.291263717081726,71.43228014167997
Target-14,358.2086666666666,-30.98973611111111,24.798948021297495,44.752859658785894
Target-16,358.16362499999997,-30.864091666666667,24.485218528574208,59.74651644520467
Target-17,357.92633333333333,-30.846380555555555,25.077624675676056,34.62183878162105
Target-20,357.7373333333333,-30.671375,24.29644735257983,71.09205348783344
Target-01,357.1388749999999,-30.902841666666664,21.041857572122495,1424.482017583172
Target-13,357.5402916666666,-31.007897222222223,25.09057969860458,34.21118524494818
Target-15,356.71804166666664,-30.95195,24.82841022867043,43.55478843630377
Target-22,357.05112499999996,-30.54286666666667,24.21677266141036,76.50519658511607
Target-18,356.3781666666666,-30.84505555555555,25.184306668197113,31.381762602624924
Target-19,356.4106666666666,-30.685063888888887,24.94925891807625,38.96695166071038
Target-21,356.5843749999999,-30.667761111111112,24.84107626592831,43.04963698510375
Target-23,356.1877916666666,-30.518644444444444,24.80636550734701,44.44816098982783
Target-32,357.6133333333333,-30.353719444444447,25.01072925592754,36.82207833887962
Target-35,357.5968333333333,-30.179280555555557,25.12937898318033,33.01021908696288
Target-36,357.6877916666666,-30.087041666666664,24.636772868279465,51.962597534086896
Target-38,357.6522499999999,-30.029663888888887,24.771619594564346,45.89360381281925
Target-24,356.90625,-30.474541666666664,24.911165565765454,40.3583845086152
Target-26,356.910625,-30.42993055555556,24.851671779033317,42.63156623143987
Target-28,357.08758333333327,-30.401163888888888,24.465776409593975,60.8260250075793
Target-29,356.83829166666663,-30.38153888888889,24.16082203102987,80.55104660122345
Target-31,357.3627083333333,-30.35721666666667,24.575998770984125,54.95414959192596
Target-34,357.39437499999997,-30.211247222222223,24.7097801574986,48.5834036183715
Target-37,357.43116666666657,-30.05035,24.564934145809424,55.517044969528065
Target-39,357.1815833333333,-29.887205555555553,25.016141786565107,36.63897245968834
Target-25,356.1318333333333,-30.459941666666666,24.611796441021312,53.171807475868626
Target-27,356.1537916666667,-30.417897222222223,24.107774668786153,84.5843726360976
Target-30,356.61366666666663,-30.364325,24.88628102090256,41.29406068154731
Target-33,356.2621249999999,-30.209130555555554,25.09011065580524,34.22596781976343
