Target,Input_RA_deg,Input_Dec_deg,Matched_RA_deg,Matched_Dec_deg,Separation_arcsec,MAG_APER,MAGERR_APER,Detected,MAG_AUTO,MAGERR_AUTO
QSO,357.1388749999999,-30.902841666666664,357.1389329,-30.9028322,[0.18206779],129.243,99.0,True,,
LAE-1,357.6644166666666,-31.790669444444447,,,,,,False,,
LAE-2,357.3557916666666,-31.776374999999998,,,,,,False,,
LAE-3,357.4397083333333,-31.650405555555555,,,,,,False,,
LAE-4,357.09262499999994,-31.631644444444444,,,,,,False,,
LAE-5,357.0711666666666,-31.50526111111111,357.071182,-31.5053113,[0.18670885],26.4908,0.7735,True,,
LAE-6,356.7152083333333,-31.324980555555555,,,,,,False,,
LAE-7,358.02062499999994,-31.272388888888887,358.0205877,-31.2724204,[0.1613718],26.6531,0.8718,True,,
LAE-8,356.21391666666665,-31.23382777777778,,,,,,False,,
LAE-9,357.2879583333333,-31.189911111111112,,,,,,False,,
LAE-10,357.15908333333334,-31.173747222222225,,,,,,False,,
LAE-11,358.04766666666666,-31.169394444444446,,,,,,False,,
LAE-12,357.5402916666666,-31.007897222222223,,,,,,False,,
LAE-13,358.2086666666666,-30.989736111111114,,,,,,False,,
LAE-14,356.71804166666664,-30.95195,,,,,,False,,
LAE-15,358.16362499999997,-30.864091666666667,,,,,,False,,
LAE-16,357.92633333333333,-30.846380555555555,,,,,,False,,
LAE-17,356.3781666666666,-30.845055555555554,,,,,,False,,
LAE-18,356.4106666666666,-30.685063888888887,,,,,,False,,
LAE-19,357.7373333333333,-30.671375,,,,,,False,,
LAE-20,356.5843749999999,-30.667761111111112,,,,,,False,,
LAE-21,357.05112499999996,-30.54286666666667,,,,,,False,,
LAE-22,356.1877916666666,-30.518644444444444,,,,,,False,,
LAE-23,356.90625,-30.474541666666664,,,,,,False,,
LAE-24,356.1318333333333,-30.459941666666666,,,,,,False,,
LAE-25,356.910625,-30.429930555555558,,,,,,False,,
LAE-26,356.1537916666667,-30.417897222222223,356.1537869,-30.4178521,[0.16311265],29.6178,13.3256,True,,
LAE-27,357.08758333333327,-30.401163888888888,,,,,,False,,
LAE-28,356.83829166666663,-30.38153888888889,356.8383247,-30.3815345,[0.10379908],26.0385,0.4999,True,,
LAE-29,356.61366666666663,-30.364325,,,,,,False,,
LAE-30,357.3627083333333,-30.35721666666667,,,,,,False,,
LAE-31,357.6133333333333,-30.353719444444447,,,,,,False,,
LAE-32,356.2621249999999,-30.209130555555554,,,,,,False,,
LAE-33,357.39437499999997,-30.211247222222223,,,,,,False,,
LAE-34,357.5968333333333,-30.179280555555557,,,,,,False,,
LAE-35,357.6877916666666,-30.087041666666664,,,,,,False,,
LAE-36,357.43116666666657,-30.05035,,,,,,False,,
LAE-37,357.6522499999999,-30.029663888888887,,,,,,False,,
LAE-38,357.1815833333333,-29.887205555555553,,,,,,False,,
