my_name,cand_name,my_ra,my_dec,cand_ra,cand_dec,my_z,cand_z,my_flux,delta_z
Target-1,QSO,357.1388749999999,-30.902841666666664,357.1388749999999,-30.902841666666664,22.531322650828,22.19,1548.3564217511885,0.3413226508279976
Target-2,LAE-1,357.6644166666666,-31.790669444444447,357.6644166666666,-31.790669444444447,25.313630621226224,24.97,119.3844468460912,0.34363062122622523
Target-3,LAE-2,357.3557916666666,-31.776375,357.3557916666666,-31.776374999999998,26.569245949838056,26.07,37.557927569042995,0.4992459498380555
Target-4,LAE-3,357.4397083333333,-31.650405555555555,357.4397083333333,-31.650405555555555,26.20561998767487,25.74,52.49911772591808,0.4656199876748701
Target-5,LAE-4,357.09262499999994,-31.631644444444444,357.09262499999994,-31.631644444444444,29.151726601867615,25.93,3.4810427696455015,3.2217266018676156
Target-6,LAE-5,357.0711666666666,-31.50526111111111,357.0711666666666,-31.50526111111111,26.577983394983654,26.09,37.25689364123334,0.4879833949836545
Target-7,LAE-6,356.7152083333333,-31.324980555555555,356.7152083333333,-31.324980555555555,26.06760799665824,25.85,59.61517200415223,0.21760799665823782
Target-8,LAE-7,358.02062499999994,-31.272388888888887,358.02062499999994,-31.272388888888887,25.904785920159167,25.38,69.26050151292523,0.524785920159168
Target-9,LAE-8,356.21391666666665,-31.23382777777778,356.21391666666665,-31.23382777777778,26.080974057287012,25.99,58.885772542563565,0.09097405728701347
Target-10,LAE-9,357.2879583333333,-31.189911111111112,357.2879583333333,-31.189911111111112,26.151108779945886,25.84,55.20221293948439,0.3111087799458865
Target-11,LAE-10,357.15908333333334,-31.173747222222225,357.15908333333334,-31.173722222222224,26.30341958634954,26.12,47.97689807910933,0.18341958634954025
Target-12,LAE-11,358.04766666666666,-31.16939444444445,358.04766666666666,-31.16938888888889,25.913002885730407,25.55,68.73830926226681,0.3630028857304062
Target-13,LAE-12,357.5402916666666,-31.007897222222223,357.5402916666666,-31.00788888888889,,25.54,-108.19937744291548,
Target-14,LAE-13,358.2086666666666,-30.98973611111111,358.2086666666666,-30.989722222222223,,25.81,-35.68995833190911,
Target-15,LAE-14,356.71804166666664,-30.95195,356.71804166666664,-30.951944444444443,26.638037529656547,26.07,35.25209957124384,0.5680375296565465
Target-16,LAE-15,358.16362499999997,-30.864091666666667,358.16362499999997,-30.864083333333333,26.14442522125715,25.44,55.543073953371575,0.70442522125715
Target-17,LAE-16,357.92633333333333,-30.846380555555555,357.92633333333333,-30.84636111111111,27.11994240438901,25.33,22.616377171940208,1.7899424043890129
Target-18,LAE-17,356.3781666666666,-30.84505555555555,356.3781666666666,-30.845055555555554,26.332716253395716,25.86,46.69963634063741,0.472716253395717
Target-19,LAE-18,356.4106666666666,-30.685063888888887,356.4106666666666,-30.685055555555557,,25.69,-51.62593004683932,
Target-20,LAE-19,357.7373333333333,-30.671375,357.7373333333333,-30.67136111111111,26.987780241591032,26.03,25.543941055330365,0.9577802415910313
Target-21,LAE-20,356.5843749999999,-30.667761111111112,356.5843749999999,-30.66775,25.741173444971437,25.38,80.52497932980816,0.36117344497143833
Target-22,LAE-21,357.05112499999996,-30.54286666666667,357.05112499999996,-30.54286111111111,26.319869275016984,26.02,47.25549208877529,0.29986927501698446
Target-23,LAE-22,356.1877916666666,-30.518644444444444,356.1877916666666,-30.518638888888887,26.504545782555567,26.05,39.86407460854283,0.45454578255556655
Target-24,LAE-23,356.90625,-30.474541666666664,356.90625,-30.474527777777777,25.90354614254823,25.53,69.3396336838273,0.3735461425482285
Target-25,LAE-24,356.1318333333333,-30.459941666666666,356.1318333333333,-30.459916666666665,25.545959811643172,25.39,96.38647002657214,0.15595981164317152
Target-26,LAE-25,356.910625,-30.42993055555556,356.910625,-30.429916666666667,25.949325890159255,25.33,66.47672933315063,0.6193258901592564
Target-27,LAE-26,356.1537916666667,-30.417897222222223,356.1537916666667,-30.41788888888889,26.364698736662625,25.95,45.34407066028822,0.4146987366626256
Target-28,LAE-27,357.08758333333327,-30.401163888888888,357.08758333333327,-30.401138888888887,26.20064632041292,26.0,52.740163502089025,0.2006463204129183
Target-29,LAE-28,356.83829166666663,-30.38153888888889,356.83829166666663,-30.381527777777777,26.602701571393094,25.63,36.41827503623093,0.9727015713930953
Target-30,LAE-29,356.61366666666663,-30.364325,356.61366666666663,-30.364305555555557,26.124082482995913,25.52,56.59355906826447,0.6040824829959135
Target-31,LAE-30,357.3627083333333,-30.35721666666667,357.3627083333333,-30.357194444444445,25.821389442142863,25.65,74.79011881135146,0.1713894421428641
Target-32,LAE-31,357.6133333333333,-30.353719444444447,357.6133333333333,-30.353694444444447,,25.5,-109.12929153424406,
Target-33,LAE-32,356.2621249999999,-30.209130555555554,356.2621249999999,-30.20911111111111,26.50464729635293,25.96,39.86034758498127,0.5446472963529274
Target-34,LAE-33,357.39437499999997,-30.211247222222223,357.39437499999997,-30.211222222222222,26.4714438215407,25.66,41.09816878281658,0.8114438215406992
Target-35,LAE-34,357.5968333333333,-30.179280555555557,357.5968333333333,-30.179277777777777,26.16067141589193,26.13,54.7181535297599,0.030671415891930565
Target-36,LAE-35,357.6877916666666,-30.087041666666664,357.6877916666666,-30.087027777777777,25.916668621287243,25.34,68.50662170164587,0.5766686212872436
Target-37,LAE-36,357.43116666666657,-30.05035,357.43116666666657,-30.050333333333334,25.723945757266826,25.55,81.81288301531242,0.17394575726682504
Target-38,LAE-37,357.6522499999999,-30.029663888888887,357.6522499999999,-30.029638888888886,25.71929632079746,25.45,82.16398065840625,0.26929632079746213
Target-39,LAE-38,357.1815833333333,-29.887205555555553,357.1815833333333,-29.887194444444443,26.21558870976938,25.8,52.01930147278702,0.41558870976938067
